designation,name,product_number,footprint,quantity,unit_price,supplier,category
WX-DC12003,WX-DC12003,WX-DC12003,,800,0,,alimentation
RPD10W2SR,RPD10W2SR,RPD10W2SR,,150,0,,alimentation
33uH,33uH,CDRH127/LDNP-330M,,398,0,,inducteur
DB125-3.5-4P-GN,DB125-3.5-4P-GN,DB125-3.5-4P-GN-S,,20,0,,bornier
WJ126V-5.0-2P,WJ126V-5.0-2P,WJ126V-5.0-2P,,134,0,,bornier
WJ126V-5.0-3P,WJ126V-5.0-3P,WJ126V-5.0-3P,,1100,0,,bornier
TS-1101S-C-B-B-W-X,TS-1101S-C-B-B-W-X,TS-1101S-C-B-B-W-A,,1450,0,,bouton
1000uF,1000uF,CD288108M1C0813VFL,,0,0,,condensateur
100nF,100nF,CC0603KRX7R9BB104,,5000,0,,condensateur
10uF,10uF,T494A106M020AT,,160,0,,condensateur
1uF_C0805,1uF_C0805,CL21B105KBFNNNE,,0,0,,condensateur
220uF,220uF,T491C227K010AT,,990,0,,condensateur
220uF,220uF,UWT1H221MNL1GS,,796,0,,condensateur
470uF,470uF,KF471M010E110A,,28,0,,condensateur
220S-1*5P H=8.5MM Ytype,220S-1*5P H=8.5MM Ytype,B-2200S05P-A120,,600,0,,connecteur
DM254R-11-06-85,DM254R-11-06-85,DM254R-11-06-85,,400,0,,connecteur
HX PM1.0-1X4P ZC,HX PM1.0-1X4P ZC,HX PM1.0-1x4P ZC,,0,0,,connecteur
1N4007W_C3018540,1N4007W_C3018540,1N4007W,,360,0,,diode
1N4148W_C115103,1N4148W_C115103,1N4148W,,7000,0,,diode
1N5819_C437199,1N5819_C437199,1N5819,,300,0,,diode
SS34A,SS34A,SS34A,,380,0,,diode
MCP23017T-E/SO,MCP23017T-E/SO,MCP23017T-E/SO,,20,0,,expanseur
PCF8574T/TR,PCF8574T/TR,PCF8574T/TR,,0,0,,expanseur
MF2410F2.000TM,MF2410F2.000TM,MF2410F2.000TM,,700,0,,fusible
15-21/G6C-AN1P2/3T,15-21/G6C-AN1P2/3T,15-21/G6C-AN1P2/3T,,700,0,,led
XL-302UGD,XL-302UGD,XL-302UGD,,400,0,,led
ESP-01E,ESP-01E,ESP-01E-2M,,0,0,,microcontroleur
ESP-07,ESP-07,ESP-07S,,1000,0,,microcontroleur
ESP-12F,ESP-12F,ESP-12F,,0,0,,microcontroleur
LTV-814S-TA1,LTV-814S-TA1,LTV-814S-TA1,,200,0,,optocoupleur
TLP290,TLP290,"TLP290-4(GB-TP,E",,300,0,,optocoupleur
PCB SH-16A,PCB SH-16A,PCB SH-16A,,380,0,,pcb
PCB SH-2R,PCB SH-2R,PCB SH-2R,,0,0,,pcb
PCB_1X,PCB_1X,PCB_1X,,0,0,,pcb
PCB_2X,PCB_2X,PCB_2X,,0,0,,pcb
PCB_3X,PCB_3X,PCB_3X,,0,0,,pcb
PCB_4X,PCB_4X,PCB_4X,,2,0,,pcb
PCB_5X,PCB_5X,PCB_5X,,48,0,,pcb
PCB_6X,PCB_6X,PCB_6X,,48,0,,pcb
PCB_8X,PCB_8X,PCB_8X,,28,0,,pcb
PCB_DUO,PCB_DUO,PCB_DUO,,0,0,,pcb
PCB_S10,PCB_S10,PCB_S10,,0,0,,pcb
PCB_S16,PCB_S16,PCB_S16,,380,0,,pcb
AMS1117 3.3V,AMS1117 3.3V,AMS1117-3.3,,1500,0,,regulateur
LM2596S-3.3,LM2596S-3.3,LM2596S-ADJ-MS,,398,0,,regulateur
HF32F-G/005-HS,HF32F-G/005-HS,HF32F-G/005-HS,,1700,0,,relais
HF49FD/005-1H11,HF49FD/005-1H11,HF49FD/005-1H11,,150,0,,relais
10kΩ,10kΩ,1206W4F1002T5E,,0,0,,resistance
10kΩ,10kΩ,RS-06K103JT,,10000,0,,resistance
10kΩ_RN,10kΩ_RN,RC-ML08W103JT,,900,0,,resistance
1kΩ,1kΩ,1206W4F1001T5E,,5000,0,,resistance
1kΩ,1kΩ,1206W4F100T5E,,5600,0,,resistance
4.7kΩ,4.7kΩ,1206W4J0472T5E,,5600,0,,resistance
470Ω,470Ω,1206W4F4700T5E,,4800,0,,resistance
TA2VT1.25,TA2VT1.25,01550900M,,100,0,,support
SH-1R 16A,SH-1R 16A,SH-1R 16A,,0,0,,support
SH-2R,SH-2R,2R RELAY,,0,0,,support
2N3906S,2N3906S,2N3906S-RTK/PS,,360,0,,transistor
BC847_C475630,BC847_C475630,BC847,,2000,0,,transistor
MMBT2222A,MMBT2222A,MMBT2222A,,2000,0,,transistor
22uF,22uF,CL31A226KPHNNNE,,0,0,,condensateur
G2RL-1-E DC5,G2RL-1-E DC5,G2RL-1-E DC5,,0,0,,relais
HX PM1.0-1X5P ZC,HX PM1.0-1X5P ZC,HX PM1.0-1x5P ZC,,0,0,,connecteur
